time: 2022-05-25 13:26:51,292, function: __init__, module: scripts.cleaning_logger, message: Function DataCleaner successfully added!!! 
time: 2022-05-27 17:02:45,192, function: __init__, module: scripts.cleaning_logger, message: Function DataCleaner successfully added!!! 

time: 2022-05-27 17:02:45,192, function: __init__, module: scripts.cleaning_logger, message: Function DataTransformer successfully added!!! 

time: 2022-05-27 17:03:03,358, function: sep_cat_num, module: scripts.cleaning_logger, message: Separating catagorical and numerical variables successfuly done!!! 

time: 2022-05-27 17:04:20,277, function: __init__, module: scripts.cleaning_logger, message: Function DataCleaner successfully added!!! 

time: 2022-05-27 17:04:20,278, function: __init__, module: scripts.cleaning_logger, message: Function DataTransformer successfully added!!! 

time: 2022-05-27 17:04:36,337, function: sep_cat_num, module: scripts.cleaning_logger, message: Separating catagorical and numerical variables successfuly done!!! 

time: 2022-05-27 17:11:39,437, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:11:40,894, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:16:51,370, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:16:52,731, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:17:20,953, function: __init__, module: scripts.cleaning_logger, message: Function DataCleaner successfully added!!! 

time: 2022-05-27 17:17:20,953, function: __init__, module: scripts.cleaning_logger, message: Function DataTransformer successfully added!!! 

time: 2022-05-27 17:17:37,127, function: sep_cat_num, module: scripts.cleaning_logger, message: Separating catagorical and numerical variables successfuly done!!! 

time: 2022-05-27 17:18:04,649, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:18:05,925, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:18:06,017, function: target_feature, module: scripts.cleaning_logger, message: Separating target features successfuly done!!! 

time: 2022-05-27 17:18:06,340, function: set_splitter, module: scripts.cleaning_logger, message: Splitting successfuly done!!! 

time: 2022-05-27 17:18:47,299, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:18:48,586, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:18:48,646, function: target_feature, module: scripts.cleaning_logger, message: Separating target features successfuly done!!! 

time: 2022-05-27 17:18:48,860, function: set_splitter, module: scripts.cleaning_logger, message: Splitting successfuly done!!! 

time: 2022-05-27 17:19:25,077, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:19:26,356, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:19:26,434, function: target_feature, module: scripts.cleaning_logger, message: Separating target features successfuly done!!! 

time: 2022-05-27 17:19:26,678, function: set_splitter, module: scripts.cleaning_logger, message: Splitting successfuly done!!! 

time: 2022-05-27 17:21:31,312, function: cat_labeler, module: scripts.cleaning_logger, message: Labeling the catagorical columns using label encoder successfuly done!!! 

time: 2022-05-27 17:21:31,770, function: scaler, module: scripts.cleaning_logger, message: Scaling the data successfuly done!!! 

time: 2022-05-27 17:21:31,796, function: target_feature, module: scripts.cleaning_logger, message: Separating target features successfuly done!!! 

time: 2022-05-27 17:21:31,871, function: set_splitter, module: scripts.cleaning_logger, message: Splitting successfuly done!!! 

